127.0.0.1 - - [28/Apr/2021:14:35:32 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:35:34 +0900] "GET /WEB-INF/views/board/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:35:50 +0900] "GET /WEB-INF/views/board/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:04 +0900] "GET /WEB-INF/views/board/list?pageNum=5 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:08 +0900] "GET /WEB-INF/views/board/list?pageNum=5 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:09 +0900] "GET /WEB-INF/views/board/list?pageNum=5 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:27 +0900] "GET /board/list?pageNum=5 HTTP/1.1" 200 28773
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:27 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:27 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:28 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:29 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /board/list?pageNum=5&amount=20 HTTP/1.1" 200 29828
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:36:42 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:37:11 +0900] "GET /board/list?pageNum=%23&amount=20&type=&keyword= HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /board/list HTTP/1.1" 200 28901
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:42 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:45 +0900] "GET /board/list?pageNum=2&amount=10&type=&keyword= HTTP/1.1" 200 28861
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:45 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:14:40:45 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
